Store_ID,Store_Name,City,State,Opening_Date
1,RetailHub Mumbai Central,Mumbai,Maharashtra,2024-09-12
2,RetailHub Bengaluru North,Bengaluru,Karnataka,2026-06-14
3,RetailHub Chennai Express,Chennai,Tamil Nadu,2024-03-18
4,RetailHub Hyderabad Tech Park,Hyderabad,Telangana,2025-03-29
5,RetailHub Delhi Connaught Place,Delhi,Delhi,2026-04-07
6,RetailHub Kolkata Salt Lake,Kolkata,West Bengal,2026-06-01
7,RetailHub Pune Koregaon Park,Pune,Maharashtra,2026-05-26
8,RetailHub Ahmedabad SG Highway,Ahmedabad,Gujarat,2025-07-17
9,RetailHub Kochi Marine Drive,Kochi,Kerala,2024-04-10
10,RetailHub Jaipur Pink City,Jaipur,Rajasthan,2024-02-21
11,RetailHub Lucknow Hazratganj,Lucknow,Uttar Pradesh,2025-10-29
12,RetailHub Chandigarh Sector 17,Chandigarh,Chandigarh,2025-07-07
13,RetailHub Indore Vijay Nagar,Indore,Madhya Pradesh,2026-05-06
14,RetailHub Gurugram Cyber City,Gurugram,Haryana,2024-01-16
15,RetailHub Bhubaneswar Master Canteen,Bhubaneswar,Odisha,2024-04-05
