Category_ID,Category_Name,Description
1,Electronics,"Smartphones, laptops, tablets, and consumer audio-visual equipment."
2,Home Appliances,"Refrigerators, washing machines, microwaves, and small kitchen appliances."
3,Furniture,"Living room sofas, dining tables, office chairs, and bedroom setups."
4,Clothing,"Men, women, and kids apparel including casual, formal, and ethnic wear."
5,Footwear,"Athletic shoes, formal leather footwear, sneakers, and daily sandals."
6,Beauty & Personal Care,"Skincare, cosmetics, hair care products, and personal hygiene essentials."
7,Sports & Fitness,"Gym equipment, activewear, sports gear, and outdoor tracking accessories."
8,Toys & Games,"Educational toys, board games, action figures, and puzzles for all ages."
9,Groceries,"Fresh produce, daily dairy, pantry staples, beverages, and packaged snacks."
10,Books & Stationery,"Academic textbooks, fiction novels, office supplies, and art materials."
