Product_ID,Product_Name,SKU,Category_ID,Supplier_ID,Cost_Price,Selling_Price,Current_Stock_Level,Reorder_Level,Status
1,Premium Cotton T-Shirt Max,CAT04-NMS-001,4,13,7943.75,10808.33,41,15,Active
2,Dyson Vacuum Cleaner Plus,CAT02-LHS-002,2,10,2152.03,2750.44,135,15,Discontinued
3,Fitkit Motorized Treadmill Classic,CAT07-KIM-003,7,14,1332.44,1679.44,39,15,Active
4,Philips Air Fryer Plus,CAT02-RUC-004,2,10,39314.08,54318.36,1,15,Active
5,Anker Bluetooth Speaker Max,CAT01-GVK-005,1,18,12575.18,16804.25,236,15,Active
6,Premium Cotton T-Shirt Lite,CAT04-XRI-006,4,20,524.84,642.86,220,15,Discontinued
7,Reebok 6mm Yoga Mat Classic,CAT07-UQY-007,7,19,47578.29,65009.38,205,15,Active
8,Ravensburger 1000pc Puzzle Plus,CAT08-ZRY-008,8,8,23489.04,31794.75,41,15,Active
9,Zara Summer Dress Pro,CAT04-OOR-009,4,14,1601.19,1896.99,98,15,Active
10,Marvel Iron Man Action Figure Pro,CAT08-NNV-010,8,12,37655.05,50484.52,96,15,Active
11,Metal Desk Organizer Mesh V1,CAT10-EEK-011,10,1,28451.73,38403.76,166,15,Discontinued
12,Yonex Badminton Racket V1,CAT07-RMG-012,7,7,23790.4,29314.78,183,15,Active
13,Panasonic Microwave Oven Lite,CAT02-RFB-013,2,6,41340.09,53776.88,3,15,Active
14,Decathlon 10kg Dumbbell Set Pro,CAT07-JVQ-014,7,10,3590.97,4181.19,63,15,Active
15,Decathlon 10kg Dumbbell Set V1,CAT07-ERN-015,7,13,23963.73,27970.24,241,15,Active
16,3-Seater Fabric Sofa Classic,CAT03-WVP-016,3,7,8022.18,10378.88,71,15,Discontinued
17,Puma Running Shoes Pro,CAT05-OCM-017,5,7,30280.95,36691.73,165,15,Discontinued
18,Ravensburger 1000pc Puzzle V1,CAT08-XCJ-018,8,15,32349.33,44633.15,235,15,Active
19,Decathlon 10kg Dumbbell Set Classic,CAT07-HFT-019,7,20,36687.87,46390.24,66,15,Active
20,Decathlon 10kg Dumbbell Set Pro,CAT07-IUR-020,7,2,14664.29,20223.14,204,15,Active
21,Ravensburger 1000pc Puzzle V1,CAT08-LCY-021,8,14,5349.71,7177.36,135,15,Active
22,Converse Chuck Taylor Sneakers V1,CAT05-OAC-022,5,7,31978.44,42176.54,107,15,Discontinued
23,Levis Slim Fit Jeans V1,CAT04-IDW-023,4,13,45864.14,56494.42,144,15,Discontinued
24,Philips Air Fryer Lite,CAT02-HWO-024,2,3,7097.76,9618.22,63,15,Active
25,Parker Vector Gel Pen Set Max,CAT10-DRX-025,10,4,19602.39,22922.96,193,15,Active
26,3-Seater Fabric Sofa Pro,CAT03-GWB-026,3,15,44644.12,57281.74,32,15,Active
27,Yonex Badminton Racket V1,CAT07-TAB-027,7,10,38642.24,51849.33,115,15,Active
28,Levis Slim Fit Jeans Classic,CAT04-AAK-028,4,3,41043.27,54176.7,14,15,Active
29,Mesh Office Chair Classic,CAT03-QDK-029,3,6,16200.71,21169.41,158,15,Discontinued
30,Decathlon 10kg Dumbbell Set Pro,CAT07-DLK-030,7,4,8762.72,10958.09,119,15,Active
31,LEGO Classic Building Blocks Lite,CAT08-IUT-031,8,8,18511.1,21599.36,97,15,Discontinued
